z,temp,oxygen,solidflux,phi,density,temp_grad,xi_grad,j_grad,temp_fluc,xi_fluc,phi_fluc,density_fluc
1222771.979049757,-5080.844032028922,-19295.22256872137,-3.1211526159604277e-07,0.004984607895022594,255242271.76611984,-0.0013444817863631565,1.0594429157287331e-07,5.108805155124378e-13,1284.372354451811,256507413.70969686,-1278584.2914160858,255230113.79063523
1222790.684624018,-5080.869183582769,-19295.22255448764,-3.1212232467174443e-07,0.004984639844020923,255242263.37748918,-0.0013449897264631928,1.059721604480734e-07,5.108844024059576e-13,1284.3753940886324,256507413.5204763,-1278592.4855984142,255230105.41027197
1222809.3901982792,-5080.8943497955415,-19295.222538360118,-3.121277634276953e-07,0.004984656227962213,255242258.9563481,-0.001345555910814283,1.0600328451374482e-07,5.108856323511478e-13,1284.3784354970269,256507413.30608007,-1278596.6871170455,255230100.99739853
1222828.0957725402,-5080.919531040684,-19295.22249231522,-3.121231074268783e-07,0.004984575884710436,255242278.95062807,-0.0013468608485044198,1.0607570856427284e-07,5.108703493865621e-13,1284.381478722126,256507412.69396782,-1278576.0755001875,255230120.99994636
1222846.8013468012,-5080.9447276439505,-19295.22247625497,-3.1212856819240017e-07,0.0049845924800221335,255242274.47616214,-0.0013474267401906576,1.0610681353766717e-07,5.108716156227231e-13,1284.384523803298,256507412.48046586,-1278580.3312411585,255230116.5337485
1222865.5069210622,-5080.969939936031,-19295.22245897331,-3.121327873752381e-07,0.004984597178437845,255242273.0371727,-0.0013480353076056825,1.061403031370195e-07,5.108708511299781e-13,1284.3875707805078,256507412.2507267,-1278581.5352701335,255230115.10302734
1222884.2124953237,-5080.995168267298,-19295.22241070927,-3.1212583783716085e-07,0.0049844948621263156,255242298.63833624,-0.0013494193240379479,1.0621714287384132e-07,5.108518179814186e-13,1284.3906196960988,256507411.6091136,-1278555.2872738922,255230140.71245942
1222902.9180695848,-5081.020412992998,-19295.22239349826,-3.1213007903587147e-07,0.004984499772570387,255242297.14589813,-0.0013500275921476373,1.062506128181023e-07,5.10851089936912e-13,1284.3936705930037,256507411.38031366,-1278556.5456942176,255230139.22829002
1222921.6236438458,-5081.045674521502,-19295.222374346158,-3.121322484467526e-07,0.004984484832096442,255242300.71967524,-0.0013507007846592356,1.0628771101271938e-07,5.108469735066631e-13,1284.3967235205757,256507411.12570918,-1278552.712096601,255230142.81033608
1222940.3292181068,-5081.0709534809075,-19295.222322529447,-3.1212146354996624e-07,0.004984345770614183,255242335.6992257,-0.001352205193585269,1.063712755039041e-07,5.108216690271191e-13,1284.3997785547213,256507410.43686754,-1278517.038490374,255230177.7981557
1222959.034792368,-5081.096250556046,-19295.222303453127,-3.121236549878226e-07,0.004984331043045866,255242339.2193974,-0.0013528780767651841,1.0640835319190436e-07,5.108175893108662e-13,1284.4028357782047,256507410.1832705,-1278513.2595095076,255230181.3265968
